Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
137.184.8.198-64.227.132.71-33046-5900-6,137.184.8.198,33046,64.227.132.71,5900,6,01/02/2023 07:26:44 AM,522827,4,4,12.0,12.0,12.0,0.0,3.0,6.0,12.0,0.0,3.0,6.0,45.90428573887729,15.301428579625764,74689.57142857142,126254.50937142422,259559.0,83.0,521837.0,173945.6666666667,149581.66848024304,260901.0,1225.0,522569.0,174189.6666666667,150067.19568690998,260867.0,907.0,0,0,0,0,136,136,7.650714289812882,7.650714289812882,0.0,12.0,2.6666666666666665,5.291502622129181,28.0,1,2,0,2,7,0,0,0,1.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,0,1,29200,510,1,32,0,0,0,0,1.67523640466798E15,0.0,1.67523640466798E15,1.67523640466798E15,NeedManualLabel
103.135.227.254-64.227.132.71-64593-445-6,103.135.227.254,64593,64.227.132.71,445,6,01/02/2023 07:26:39 AM,6297310,187,146,301674.0,2847.0,2726.0,0.0,1613.2299465240642,514.3868733185855,39.0,0.0,19.5,19.567125843953256,48357.314472369944,52.879721658930556,18967.801204819272,70975.80799570472,1222048.0,0.0,6297310.0,33856.505376344074,104188.65852970222,1374032.0,0.0,6186288.0,42664.055172413784,103001.63783485969,1222048.0,4090.0,0,0,0,0,3740,2920,29.69521906972977,23.184502589200783,0.0,2726.0,916.086826347305,879.8810499767659,774190.662108216,1,0,0,146,333,0,0,0,0.0,918.8378378378378,1613.2299465240642,19.5,0,0,0,304482,258,61845,0,905,0,8,65028,65535,185,20,0,0,0,0,1.675236399253662E15,0.0,1.675236399253662E15,1.675236399253662E15,NeedManualLabel
137.184.8.198-64.227.132.71-36310-5900-6,137.184.8.198,36310,64.227.132.71,5900,6,01/02/2023 07:26:45 AM,528854,4,4,12.0,12.0,12.0,0.0,3.0,6.0,12.0,0.0,3.0,6.0,45.38114489065035,15.127048296883448,75550.57142857143,128054.87953068812,263020.0,1.0,527742.0,175914.0,152346.6511578118,264552.0,1.0,528685.0,176228.3333333333,151789.42660914606,264588.0,959.0,0,0,0,0,136,136,7.563524148441724,7.563524148441724,0.0,12.0,2.6666666666666665,5.291502622129181,28.0,1,2,0,2,7,0,0,0,1.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,0,1,29200,510,1,32,0,0,0,0,1.675236405676636E15,0.0,1.675236405676636E15,1.675236405676636E15,NeedManualLabel
137.184.8.198-64.227.132.71-40048-5900-6,137.184.8.198,40048,64.227.132.71,5900,6,01/02/2023 07:26:46 AM,526635,4,4,12.0,12.0,12.0,0.0,3.0,6.0,12.0,0.0,3.0,6.0,45.57236036343958,15.190786787813192,75233.57142857142,127697.36096314747,262233.0,0.0,525672.0,175224.0,151749.4032805401,263378.0,0.0,526433.0,175477.6666666667,151314.7913765648,263237.0,755.0,0,0,0,0,136,136,7.595393393906596,7.595393393906596,0.0,12.0,2.6666666666666665,5.291502622129181,28.0,1,2,0,2,7,0,0,0,1.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,0,1,29200,510,1,32,0,0,0,0,1.675236406764582E15,0.0,1.675236406764582E15,1.675236406764582E15,NeedManualLabel
64.227.132.71-8.8.8.8-48660-53-6,64.227.132.71,48660,8.8.8.8,53,6,01/02/2023 07:26:44 AM,3432861,20,15,132.0,34782.0,22.0,0.0,6.6000000000000005,10.343571611595799,4200.0,0.0,2318.8,1700.6291356856311,10170.525401407165,10.195577391569307,100966.49999999999,353058.910093799,2000081.0,0.0,1432780.0,75409.4736842105,139786.68397294517,460736.0,29.0,3424193.0,244585.21428571426,529476.7001334254,2000116.0,0.0,0,0,0,0,648,488,5.82604422375389,4.369533167815417,0.0,4200.0,969.8333333333334,1579.1914477261546,2493845.6285714284,1,2,0,18,34,0,0,0,0.0,997.5428571428571,6.6,2318.8,0,0,0,34914,18,24526,0,3,0,993,64240,256,6,32,0,0,0,0,1.675236404160536E15,0.0,1.675236404160536E15,1.675236404160536E15,NeedManualLabel
14.192.3.197-64.227.132.71-50613-3939-6,14.192.3.197,50613,64.227.132.71,3939,6,01/02/2023 07:26:48 AM,34843,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.80067732399621,11614.333333333334,12965.345553950088,26239.0,1529.0,34843.0,17421.5,14632.160623093228,27768.0,7075.0,0,0,0,0,0,0,0,0,0,108,40,86.10050799299717,28.700169330999053,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,65535,65160,0,32,0,0,0,0,1.675236408531034E15,0.0,1.675236408531034E15,1.675236408531034E15,NeedManualLabel
51.15.245.128-64.227.132.71-42954-10386-6,51.15.245.128,42954,64.227.132.71,10386,6,01/02/2023 07:26:52 AM,1168695,2,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.33333333333333337,0.5773502691896257,0.8556552393909446,4.278276196954723,292173.75,479393.9343201128,1001764.0,72.0,166859.0,166859.0,0.0,166859.0,166859.0,1167319.0,583659.5,825317.3573314087,1167247.0,72.0,0,0,0,0,40,64,1.7113104787818891,2.566965718172834,0.0,1.0,0.16666666666666669,0.408248290463863,0.16666666666666669,1,2,0,1,4,0,0,0,1.0,0.2,0.0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,1024,64240,0,20,0,0,0,0,1.675236412806058E15,0.0,1.675236412806058E15,1.675236412806058E15,NeedManualLabel
137.184.8.198-64.227.132.71-55512-5900-6,137.184.8.198,55512,64.227.132.71,5900,6,01/02/2023 07:26:53 AM,533849,4,4,12.0,12.0,12.0,0.0,3.0,6.0,12.0,0.0,3.0,6.0,44.95653265249162,14.985510884163874,76264.14285714287,129607.47759604584,266003.0,51.0,533219.0,177739.6666666667,153848.76535524533,266959.0,91.0,533656.0,177885.3333333333,153552.29311974905,266932.0,579.0,0,0,0,0,136,136,7.492755442081937,7.492755442081937,0.0,12.0,2.6666666666666665,5.291502622129181,28.0,1,2,0,2,7,0,0,0,1.0,3.0,3.0,3.0,0,0,0,0,0,0,0,1,0,1,29200,510,1,32,0,0,0,0,1.675236413537826E15,0.0,1.675236413537826E15,1.675236413537826E15,NeedManualLabel
51.15.245.128-64.227.132.71-42954-10386-6,51.15.245.128,42954,64.227.132.71,10386,6,01/02/2023 07:26:54 AM,54,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,37037.03703703704,54.0,0.0,54.0,54.0,54.0,54.0,0.0,54.0,54.0,0,0,0,0,0,0,0,0,0,40,0,37037.03703703704,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,600,0,0,20,0,0,0,0,1.675236414138955E15,0.0,1.675236414138955E15,1.675236414138955E15,NeedManualLabel
14.192.3.197-64.227.132.71-50615-21-6,14.192.3.197,50615,64.227.132.71,21,6,01/02/2023 07:26:54 AM,31757,3,2,0.0,23.0,0.0,0.0,0.0,0.0,23.0,0.0,11.5,16.263455967290593,724.2497717038763,157.44560254432093,7939.250000000001,15059.62359810718,30521.0,39.0,31757.0,15878.5,21049.86176914233,30763.0,994.0,31476.0,31476.0,0.0,31476.0,31476.0,0,0,0,0,108,72,94.46736152659255,62.97824101772837,0.0,23.0,3.833333333333333,9.389710680668848,88.16666666666666,1,2,0,1,4,0,0,0,0.0,4.6,0.0,11.5,0,0,0,0,0,0,0,0,0,4,65535,510,0,32,0,0,0,0,1.675236414903721E15,0.0,1.675236414903721E15,1.675236414903721E15,NeedManualLabel
64.227.132.71-14.192.3.197-21-50615-6,64.227.132.71,21,14.192.3.197,50615,6,01/02/2023 07:26:54 AM,15419,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,129.71009793112393,15419.0,0.0,15419.0,15419.0,15419.0,15419.0,0.0,15419.0,15419.0,0,0,0,0,0,0,0,0,0,64,0,129.71009793112393,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,510,0,0,32,0,0,0,0,1.675236414938509E15,0.0,1.675236414938509E15,1.675236414938509E15,NeedManualLabel
